theme,insight
Scale,"Delivered merchandise revenue was R$ 13,221,498.11 across 96,478 delivered orders."
Category concentration,"Health Beauty led categories with R$ 1,233,131.72, or 9.3% of delivered merchandise revenue."
Geography,"SP generated the most delivered merchandise revenue: R$ 5,067,633.16 (38.3% of total)."
Customer retention,"2,997 of 96,096 unique customers placed more than one order identity, a 3.12% repeat-customer rate."
Delivery risk,8.11% of delivered orders with valid delivery dates arrived after the estimate.
Satisfaction,"Average review score was 4.16/5; on-time orders averaged 4.29 versus 2.57 for late orders. This is associative, not causal."
Freight,"Delivered freight totaled 16.6% of merchandise revenue, highlighting logistics as a material part of order value."
Payments,"Credit Card was the dominant method for 72,785 delivered orders."
Seasonality,"The highest complete-month revenue occurred in November 2017 at R$ 987,765.37."
Seller concentration,The top 10 sellers contributed 13.3% of delivered merchandise revenue.
Order outcomes,"1,234 orders were canceled or unavailable (1.24% of all orders)."
Delivery duration,Average delivery time for delivered orders was 12.6 days.
